[Problem name],[Solve duration],[(DD) Results generated],[(AR) Equations recorded],[(GGraph) Total nodes],[(Traceback) Solution length],[(Traceback) Solution depth],[Problem source],
[MO-TG-225-3],[986294],[1560],[36],[380],[40],[9],[MO-TG-225-25],
[MO-TG-225-4],[438855],[739],[31],[255],[31],[8],[MO-TG-225-25],
[MO-TG-225-5],[484984],[726],[14],[320],[56],[11],[MO-TG-225-25],
[MO-TG-225-6],[1249240],[1440],[20],[336],[19],[7],[MO-TG-225-25],
[MO-TG-225-7],[253577],[422],[14],[198],[24],[7],[MO-TG-225-25],
[MO-TG-225-8],[188519],[321],[17],[225],[34],[8],[MO-TG-225-25],
[MO-TG-225-9],[1386730],[709],[26],[483],[45],[12],[MO-TG-225-25],
[complete_000_2_PWW_B016x],[239136],[959],[23],[195],[37],[8],[JGEX-60],
[complete_001_6_GDD_FULL_01-20_01],[79232],[227],[16],[178],[17],[7],[JGEX-60],
[complete_001_6_GDD_FULL_01-20_02],[39535],[127],[17],[179],[16],[5],[JGEX-60],
[complete_001_6_GDD_FULL_01-20_16],[262102],[413],[17],[259],[12],[5],[JGEX-60],
[complete_001_6_GDD_FULL_01-20_19],[52084],[176],[21],[335],[31],[6],[JGEX-60],
[complete_001_6_GDD_FULL_61-80_66],[131272],[247],[16],[202],[20],[9],[JGEX-60],
[complete_001_6_GDD_FULL_61-80_67],[301439],[581],[26],[432],[31],[9],[JGEX-60],
[complete_001_6_GDD_FULL_61-80_69],[35608],[81],[16],[204],[27],[6],[JGEX-60],
[complete_001_6_GDD_FULL_61-80_74],[1011651],[1304],[29],[645],[52],[11],[JGEX-60],
[complete_002_6_GDD_FULL_01-20_04],[93212],[162],[22],[229],[16],[5],[JGEX-60],
[complete_002_6_GDD_FULL_41-60_49],[297447],[714],[25],[301],[41],[9],[JGEX-60],
[complete_002_6_GDD_FULL_41-60_52],[108105],[315],[15],[171],[49],[9],[JGEX-60],
[complete_002_6_GDD_FULL_41-60_54],[657028],[984],[34],[482],[20],[9],[JGEX-60],
[complete_002_6_GDD_FULL_41-60_56],[106285],[286],[11],[135],[27],[9],[JGEX-60],
[complete_002_6_GDD_FULL_41-60_59],[19119],[107],[14],[142],[28],[6],[JGEX-60],
[complete_003_6_GDD_FULL_21-40_22],[144463],[210],[24],[290],[20],[6],[JGEX-60],
[complete_003_6_GDD_FULL_21-40_24],[42866],[178],[21],[286],[31],[6],[JGEX-60],
[complete_003_6_GDD_FULL_21-40_32],[28197],[86],[12],[158],[23],[6],[JGEX-60],
[complete_003_6_GDD_FULL_21-40_37],[1174771],[2005],[29],[514],[28],[7],[JGEX-60],
[complete_003_6_GDD_FULL_more_E015-6],[254090],[982],[23],[199],[31],[7],[JGEX-60],
[complete_003_6_GDD_FULL_more_E022-12],[38402],[147],[10],[129],[17],[9],[JGEX-60],
[complete_003_6_GDD_FULL_more_E022-9],[32954],[89],[13],[146],[20],[6],[JGEX-60],
[complete_004_6_GDD_FULL_81-109_101],[141061],[253],[16],[208],[25],[8],[JGEX-60],
[complete_004_6_GDD_FULL_81-109_88],[1822258],[1915],[28],[591],[56],[11],[JGEX-60],
[complete_004_6_GDD_FULL_81-109_90],[121375],[345],[25],[500],[26],[6],[JGEX-60],
[complete_004_6_GDD_FULL_81-109_94],[2199708],[2075],[39],[1021],[51],[10],[JGEX-60],
[complete_004_6_GDD_FULL_81-109_95],[71594],[210],[21],[275],[30],[6],[JGEX-60],
[complete_004_6_GDD_FULL_81-109_96],[76403],[73],[7],[84],[14],[8],[JGEX-60],
[complete_005_Other_ndg1_53],[126938],[371],[11],[176],[23],[8],[JGEX-60],
[complete_005_Other_other_E075-25-sss],[124115],[474],[23],[133],[36],[7],[JGEX-60],
[complete_006_Other_ndgTest_70],[48400],[130],[18],[235],[25],[6],[JGEX-60],
[complete_007_7_Book_LLL_L017-11],[3222],[5],[2],[30],[6],[4],[JGEX-60],
[complete_007_7_Book_LLL_L057-1-1],[109862],[262],[18],[168],[16],[7],[JGEX-60],
[complete_007_7_Book_LLL_L057-3-2],[151235],[147],[17],[119],[29],[9],[JGEX-60],
[complete_007_7_Book_LLL_L194-2],[35725],[110],[6],[93],[14],[5],[JGEX-60],
[complete_008_ex-gao_ex160_e201f],[158996],[360],[15],[269],[14],[6],[JGEX-60],
[complete_012_7_Book_00EE_02_E028-2],[400676],[1026],[17],[214],[30],[7],[JGEX-60],
[complete_012_7_Book_00EE_05_E051-19],[128929],[396],[12],[155],[29],[7],[JGEX-60],
[complete_012_7_Book_00EE_05_E051-22],[747587],[1397],[25],[254],[52],[9],[JGEX-60],
[complete_013_7_Book_00EE_07_E059-54-1],[454486],[1205],[28],[237],[44],[7],[JGEX-60],
[complete_013_7_Book_00EE_10_E072-13],[51639],[111],[6],[116],[14],[8],[JGEX-60],
[complete_013_7_Book_00EE_10_E074-23],[29151],[80],[12],[125],[21],[6],[JGEX-60],
[complete_013_7_Book_00EE_11_E077-37],[25386],[39],[9],[70],[16],[6],[JGEX-60],
[complete_014_7_Book_00EE_09_E071-1],[12570],[74],[8],[123],[15],[6],[JGEX-60],
[complete_014_7_Book_00EE_09_E071-2],[56228],[183],[12],[132],[22],[8],[JGEX-60],
[complete_014_7_Book_00EE_09_E071-4],[31003],[69],[11],[96],[6],[4],[JGEX-60],
[complete_016_7_Book_00EE_06_E051-24],[338627],[966],[25],[258],[34],[7],[JGEX-60],
[complete_016_7_Book_00EE_06_E051-30],[150879],[236],[16],[224],[16],[7],[JGEX-60],
[complete_016_7_Book_00EE_06_E051-32],[310869],[1015],[19],[260],[18],[7],[JGEX-60],
[complete_016_ex-gao_gao_M_M020-52],[129037],[581],[13],[181],[17],[6],[JGEX-60],
[complete_016_ex-gao_gao_M_M021-64],[661781],[4287],[27],[160],[36],[7],[JGEX-60],
[complete_016_ex-gao_gao_M_M024-94],[88673],[251],[13],[140],[27],[7],[JGEX-60],
[complete_016_ex-gao_gao_M_M09-14],[116710],[469],[18],[176],[15],[8],[JGEX-60],
[complete_017_ex-gao_ex160_4_e10],[276877],[806],[20],[171],[27],[7],[JGEX-60],
[complete_017_ex-gao_gao_L_L022-1],[74520],[216],[9],[97],[17],[9],[JGEX-60],
[imo-2000-1],[5330119],[4176],[54],[1170],[51],[12],[IMO-AG-30],
