[Problem name],[Solve duration],[(DD) Results generated],[(AR) Equations recorded],[(GGraph) Total nodes],[(Traceback) Solution length],[(Traceback) Solution depth],[Problem source],
[imo-2012-1],[5727970],[5042],[46],[806],[144],[13],[IMO-AG-30],
[imo-2012-5],[8826700],[3450],[66],[1716],[161],[14],[IMO-AG-30],
[imo-2013-4],[3740415],[2083],[40],[919],[89],[13],[IMO-AG-30],
[imo-2014-4],[1304852],[1192],[32],[605],[20],[11],[IMO-AG-30],
[imo-2015-3],[135630400],[19640],[135],[3831],[233],[17],[IMO-AG-30],
[imo-2015-4],[30498235],[5877],[68],[2086],[75],[10],[IMO-AG-30],
[imo-2016-1],[26253177],[10268],[61],[755],[76],[20],[IMO-AG-30],
[imo-2017-4],[2694197],[2319],[42],[981],[84],[12],[IMO-AG-30],
[imo-2018-1],[11850139],[5334],[64],[1729],[119],[11],[IMO-AG-30],
[imo-2019-2],[1430222],[1196],[38],[950],[62],[10],[IMO-AG-30],
[imo-2020-1],[263294],[326],[15],[323],[12],[10],[IMO-AG-30],
[imo-2022-4],[773130],[428],[17],[443],[41],[14],[IMO-AG-30]
